machine                  R(1e5)   R(1e6)   R(1e7)   R(4e7)   alpha(last)  class
x2 (PROVEN non-halt)        787     2591     7205    14379     0.498   EXPANDING (x2-like, polynomial tape)  
Antihydra                   434     1383     4433     8912     0.504   EXPANDING (x2-like, polynomial tape)  
Space Needle                151      304      803     1177     0.276   intermediate  
Lucy's Moonlight            748     2220     7924    14414     0.432   EXPANDING (x2-like, polynomial tape)  
o2                          625     1859     6011    12475     0.527   EXPANDING (x2-like, polynomial tape)  
o3                          443     1365     4265     8101     0.463   EXPANDING (x2-like, polynomial tape)  
o4                          515     1505     4572     8701     0.464   EXPANDING (x2-like, polynomial tape)  
o5                          440     1376     4311     9006     0.531   EXPANDING (x2-like, polynomial tape)  
o7                          228      800     2644     4102     0.317   EXPANDING (x2-like, polynomial tape)  
o8                          243      650     2376     5211     0.567   EXPANDING (x2-like, polynomial tape)  
o10                         414     1114     3510     7243     0.523   EXPANDING (x2-like, polynomial tape)  
o11                         802     2230     6504    12134     0.450   EXPANDING (x2-like, polynomial tape)  
o12                         625     1723     4920    10068     0.517   EXPANDING (x2-like, polynomial tape)  
o13                         345     1022     3241     6817     0.536   EXPANDING (x2-like, polynomial tape)  
o14                         355      951     2900     5264     0.430   EXPANDING (x2-like, polynomial tape)  
o15                         694     2434     8152    13832     0.381   EXPANDING (x2-like, polynomial tape)  
o16                         454     1427     4432     8435     0.464   EXPANDING (x2-like, polynomial tape)  
o17                         536     1565     6086    10964     0.425   EXPANDING (x2-like, polynomial tape)  
o18                         805     2507     7614    16232     0.546   EXPANDING (x2-like, polynomial tape)  
